,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Dezful,IR,32.3811,48.4058,109.71,7,0,7.31,clear sky
322,Dzilam Gonzalez,MX,21.2833,-88.9333,73.9,96,66,3.24,broken clouds
323,Grindavik,IS,63.8424,-22.4338,52.27,76,75,9.22,broken clouds
324,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,75.33,92,100,1.39,overcast clouds
325,Tahoua,NE,14.8888,5.2692,91.38,46,0,6.91,clear sky
326,Vila Verde,PT,41.6473,-8.4372,74.52,65,89,7.63,overcast clouds
327,Horta,PT,38.5333,-28.6333,73.04,88,20,8.05,few clouds
328,Tulum,MX,20.2167,-87.4667,80.98,92,55,3.6,broken clouds
329,Cobija,BO,-11.0267,-68.7692,78.98,78,75,0.0,broken clouds
330,Belyy Yar,RU,53.6039,91.3903,53.49,47,0,13.42,clear sky
331,Atasu,KZ,48.6814,71.6433,62.71,20,17,8.9,few clouds
332,Pauini,BR,-7.7136,-66.9764,76.15,88,55,1.7,broken clouds
333,Pimentel,PE,-6.8367,-79.9342,61.09,88,40,8.05,scattered clouds
334,Castel Volturno,IT,41.0149,13.9462,87.06,16,20,10.2,few clouds
335,Diamantino,BR,-14.4086,-56.4461,79.86,62,42,10.2,light rain
336,Aswan,EG,24.0934,32.907,111.06,9,10,20.38,clear sky
337,Mattru,SL,7.6244,-11.8332,88.84,61,75,4.25,broken clouds
338,Salekhard,RU,66.53,66.6019,49.48,51,95,11.14,overcast clouds
339,Road Town,VG,18.4167,-64.6167,85.19,74,59,8.79,broken clouds
340,Tromso,NO,69.6496,18.957,50.65,87,75,14.97,broken clouds
341,Ous,RU,60.9058,61.5186,52.39,87,100,11.07,overcast clouds
342,Kawambwa,ZM,-9.7915,29.0791,91.38,15,3,6.49,clear sky
343,Kalmunai,LK,7.4167,81.8167,84.09,71,74,13.22,broken clouds
