City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
487,Nurota,UZ,80.69,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
488,Anuppur,IN,80.49,light rain,23.1,81.6833,PWD vishramgruh GUEST HOUSE
489,Trincomalee,LK,84.36,overcast clouds,8.5711,81.2335,Welcombe Hotel
490,Campoverde,PE,72.18,broken clouds,-8.4753,-74.8058,Hospedaje Coral's
492,Dabakala,CI,84.74,light rain,8.3667,-4.4333,Hôtel Campement
493,Tutoia,BR,83.66,broken clouds,-2.7619,-42.2744,Pousada Guará's
494,Kruszwica,PL,79.05,scattered clouds,52.6756,18.3313,Ośrodek Szkolenia Żeglarskiego: Pole Namiotowe
495,Akdepe,TM,77.09,few clouds,42.0551,59.3788,Мой дом
496,Omboue,GA,81.95,overcast clouds,-1.5746,9.2618,Hotel Olako
497,Mahanoro,MG,75.49,clear sky,-19.9,48.8,BUNGALOW MAHAMANINA
498,Aleksandrov Gay,RU,73.08,few clouds,50.147,48.5704,Gostinitsa I.p. Yes'kov A.v
499,Westport,US,72.81,moderate rain,41.1415,-73.3579,The Westport Inn
500,Le Port,RE,76.96,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
501,Cururupu,BR,80.82,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
503,Saint-Gilles,FR,89.55,overcast clouds,43.6766,4.4302,Hôtel Restaurant Le Cours
504,Garbolovo,RU,61.79,light rain,60.3413,30.4955,emerald hills
505,Tafresh,IR,79.43,clear sky,34.692,50.013,هتل یاس سفید
