City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
177,Raga,8.4596,25.678,82.26,62,9,3.27,SS,2021-09-08 08:17:17
178,Mogadishu,2.0371,45.3438,80.42,76,40,18.41,SO,2021-09-08 08:17:18
179,Stranda,62.3096,6.9358,61.34,95,100,5.91,NO,2021-09-08 08:17:18
180,Garissa,-0.4536,39.6401,87.04,42,48,21.92,KE,2021-09-08 08:17:18
181,Buraydah,26.326,43.975,102.7,9,0,9.55,SA,2021-09-08 08:13:38
182,Cayenne,4.9333,-52.3333,80.1,88,0,1.14,GF,2021-09-08 08:17:19
183,Beira,-19.8436,34.8389,78.89,78,40,10.36,MZ,2021-09-08 08:17:19
184,Morondava,-20.2833,44.2833,79.72,48,0,7.52,MG,2021-09-08 08:17:20
185,Le Vauclin,14.5452,-60.8388,75.25,94,0,3.44,MQ,2021-09-08 08:17:20
186,Wajir,1.7471,40.0573,86.99,38,41,20.94,KE,2021-09-08 08:17:20
187,Gamba,-2.65,10.0,80.04,66,85,1.95,GA,2021-09-08 08:17:21
188,Dolores,-36.3132,-57.6792,54.64,91,100,22.88,AR,2021-09-08 08:17:21
189,Montigny-Les-Metz,49.0943,6.1517,74.48,68,0,11.5,FR,2021-09-08 08:17:22
190,Cacoal,-11.4386,-61.4472,77.9,58,34,1.25,BR,2021-09-08 08:17:22
191,Hammerfest,70.6634,23.6821,47.93,87,75,0.0,NO,2021-09-08 08:17:22
192,Oistins,13.0667,-59.5333,82.49,78,40,12.66,BB,2021-09-08 08:14:15
193,Jaisinghnagar,23.7,81.3833,84.25,69,67,7.7,IN,2021-09-08 08:17:23
194,Kabompo,-13.5927,24.2008,87.73,14,0,8.46,ZM,2021-09-08 08:17:23
195,Uvat,59.1433,68.8953,56.26,38,40,10.42,RU,2021-09-08 08:17:24
196,Skiathos,39.1623,23.4909,69.96,73,75,17.27,GR,2021-09-08 08:17:24
197,Voi,-3.3945,38.563,81.34,44,35,12.1,KE,2021-09-08 08:17:24
198,Rimini,44.0241,12.5186,77.63,60,0,7.0,IT,2021-09-08 08:17:25
199,Marrakesh,31.6315,-8.0083,78.87,61,40,2.3,MA,2021-09-08 08:17:25
200,Kilindoni,-7.9139,39.6668,78.89,73,5,11.92,TZ,2021-09-08 08:17:25
201,Beyneu,45.3167,55.2,67.23,26,0,14.52,KZ,2021-09-08 08:17:26
202,Gat,31.61,34.7642,88.39,42,0,5.64,IL,2021-09-08 08:17:26
203,Cap Malheureux,-19.9842,57.6142,73.89,71,44,10.0,MU,2021-09-08 08:17:27
204,Bara,10.3744,10.7288,82.18,77,55,8.7,NG,2021-09-08 08:17:27
205,Gravdal,68.1214,13.5031,53.28,87,75,14.97,NO,2021-09-08 08:17:27
206,Chilca,-12.5211,-76.7372,60.6,91,97,3.29,PE,2021-09-08 08:17:28
207,Zlobin,45.2924,14.6541,69.1,29,0,9.22,HR,2021-09-08 08:17:28
208,Los Algarrobos,8.5,-82.4333,77.45,90,100,1.86,PA,2021-09-08 08:17:28
209,Hamilton,39.1834,-84.5333,70.57,87,40,1.01,US,2021-09-08 08:16:55
210,Kemijarvi,66.7131,27.4306,52.43,86,93,8.61,FI,2021-09-08 08:17:29
211,Victoria Falls,-17.9235,25.843,86.0,21,0,11.32,ZW,2021-09-08 08:17:29
212,Bambous Virieux,-20.3428,57.7575,73.65,68,75,14.97,MU,2021-09-08 08:17:29
213,Sechura,-5.5569,-80.8222,64.09,80,99,10.4,PE,2021-09-08 08:17:30
214,Oudtshoorn,-33.5907,22.2014,66.56,37,49,1.81,ZA,2021-09-08 08:17:30
215,Antigonish,45.6169,-61.9986,61.83,92,0,1.01,CA,2021-09-08 08:17:31
